size,best,avg,worst
555,554,77294,153735
497,496,63191,123256
304,303,24191,46056
503,502,64968,126253
780,779,150893,303810
194,193,9778,18721
708,707,124108,250278
900,899,200926,404550
523,522,69324,136503
259,258,16689,33411
412,411,44550,84666
977,976,235662,476776
34,33,311,561
456,455,54856,103740
648,647,102979,209628
398,397,41541,79003
503,502,64968,126253
96,95,2612,4560
79,78,1728,3081
967,966,230939,467061
654,653,104472,213531
938,937,216788,439453
188,187,9173,17578
812,811,163994,329266
160,159,6726,12720
341,340,29602,57970
995,994,246096,494515
935,934,215892,436645
467,466,56999,108811
875,874,189853,382375
395,394,40631,77815
599,598,90100,179101
278,277,19753,38503
765,764,145076,292230
424,423,47221,89676
140,139,5187,9730
846,845,176901,357435
358,357,32959,63903
492,491,62609,120786
513,512,67303,131328
786,785,153551,308505
373,372,36190,69378
107,106,3177,5671
764,763,144840,291466
198,197,10250,19503
471,470,57993,110685
576,575,83127,165600
893,892,197293,398278
616,615,93755,189420
299,298,23056,44551
702,701,122209,246051
105,104,3084,5460
646,645,101938,208335
945,944,220853,446040
129,128,4585,8256
413,412,44686,85078
48,47,568,1128
617,616,93962,190036
897,896,198921,401856
930,929,214166,431985
954,953,225476,454581
745,744,138181,277140
945,944,220853,446040
588,587,86891,172578
984,983,239371,483636
772,771,147809,297606
52,51,668,1326
943,942,219678,444153
253,252,15859,31878
507,506,66361,128271
224,223,12828,24976
817,816,165314,333336
503,502,64968,126253
922,921,208775,424581
432,431,49189,93096
180,179,8558,16110
374,373,36335,69751
876,875,190130,383250
235,234,13937,27495
891,890,196805,396495
285,284,20818,40470
619,618,94724,191271
523,522,69324,136503
100,99,2804,4950
267,266,17694,35511
40,39,406,780
134,133,4897,8911
91,90,2344,4095
846,845,176901,357435
335,334,28271,55945
136,135,4951,9180
499,498,63740,124251
969,968,231278,468996
480,479,60236,114960
959,958,227159,459361
372,371,36020,69006
216,215,12171,23220
314,313,25481,49141
958,957,227092,458403
963,962,228404,463203
